AnoMes,qtdCartoesEmitidos,qtdCartoesAtivos,qtdTransacoesNacionais,valorTransacoesNacionais,qtdTransacoesInternacionais,valorTransacoesInternacionais
2011-01,47738,22316,561436,18961657199.0,23079,1309476193.0
2011-01,12548,7593,2005247,882933.0,160469,43917.0
2011-01,2644932,1018999,21647273,12161564050.0,0,0.0
2011-01,933929,303502,6113886,3873184880.0,4049,80876945.0
2011-01,747,365,6613,161455392.0,447,3937345.0
2011-01,1214881,653252,6001740,6713333053.0,143466,2379391574.0
2011-01,2126475,1290877,17862348,162544990241.0,852166,20773794941.0
2011-01,4542742,1374780,10699010,91898469639.0,1029,6360621.0
2011-01,4079,1450,22812,33774682.0,1388,46119576.0
2011-01,1297612,368487,933293,14234440572.0,0,0.0
2011-01,10148,5948,86965,691167658.0,0,0.0
2011-01,1794534,69204,565580,4409324068.0,1,41852.0
2011-01,2311610,729892,129962,1157827406.0,0,0.0
2011-01,297692,214381,11658076,17582404532.0,879653,28521781118.0
2011-01,25950418,12703211,106725669,70522326014.0,51542,458867847.0
2011-01,1280148,612122,5967679,62719479899.0,150768,2245655179.0
2011-01,444079,197150,58289,2596336041.0,0,0.0
2011-01,86,43,43,332247.0,0,0.0
2011-01,2440535,524745,8358796,43000073186.0,216,3529999.0
2011-01,605582,320840,6150560,80035829033.0,331608,6626497863.0
2011-01,507349,88139,1448145,16643877798.0,934,36067986.0
2011-01,43,5,10,5355.0,0,0.0
2011-01,26702,11179,146190,708341874.0,0,0.0
2011-01,6853,630,2606,49967073.0,4,208914.0
2011-01,53692,12028,210519,1988537481.0,1336,242366594.0
2011-01,6981,3394,140065,3850853116.0,33738,1719435626.0
2011-01,4638765,2453105,15931292,137686235515.0,5204,60303356.0
2011-01,1490178,583260,8130276,147940708478.0,278087,11119796871.0
2011-01,43,9,13,15684.0,0,0.0
2011-01,354249,240721,3304452,5169271820.0,143209,3782084811.0
2011-01,173308,84894,1560187,80516884361.0,179481,10820566662.0
2011-01,47232,5913,88391,465029146.0,0,0.0
2011-01,635867,369646,8074260,121982690715.0,882221,35099606174.0
2011-01,2398075,1420512,32775826,421132910093.0,1573351,3507251735.0
2011-01,1133357,70698,208231,1817287784.0,11,284783.0
2011-01,225403,135446,4239201,6462518783.0,315152,7962211133.0
2011-01,15940,6306,150510,1395693813.0,6151,140418822.0
2011-01,455523,203675,2588252,99749087872.0,123377,5627534917.0
2011-01,9311270,5234955,49117684,496842548161.0,0,0.0
2011-01,1004775,400018,4882581,50483706685.0,1,4475.0
2011-01,1185919,706645,14308000,11884042971.0,20,125223.0
2011-01,10533472,3556451,40740982,224802229585.0,0,0.0
2011-01,743,550,7014,171707644.0,260,10990215.0
2011-01,1281089,697773,12282931,89701851288.0,17,95148.0
2011-01,2588403,1254228,7719207,65948492334.0,34729,425498162.0
2011-01,82452300,27570482,292104639,1538205714271.0,114318,2975324234.0
2011-01,144924,80156,1552204,15460422959.0,16,138808.0
2011-01,23,1,6,17593.0,0,0.0
2011-01,126462740,43613047,395498782,2109139989901.0,156951,1244596796.0
