AnoMes,quantidadePix,valorPix,quantidadeTED,valorTED,quantidadeCheque,quantidadeBoleto
2023-12-01,478375909.0,19198360.0,8020226.0,362975888.0,1124191.0,33755205.0
2024-01-01,435007685.0,180438292.0,7034325.0,333734485.0,1191912.0,36355032.0
2024-02-01,434491769.0,170393555.0,6580587.0,298122645.0,1037338.0,33226947.0
2024-03-01,488046105.0,192098695.0,6756505.0,333305427.0,1012246.0,33643546.0
2024-04-01,490046649.0,206261468.0,7064715.0,365260648.0,1117922.0,36163328.0
2024-05-01,520420373.0,210333384.0,6902311.0,348203697.0,1046785.0,34918092.0
2024-06-01,52522207.0,211834752.0,6359932.0,352791228.0,964276.0,32775493.0
2024-07-01,539253101.0,233771913.0,6965715.0,382894882.0,109428.0,36648415.0
2024-08-01,563907365.0,232582432.0,6758113.0,362102265.0,1000939.0,34392499.0
2024-09-01,551482262.0,231288602.0,6615598.0,373024621.0,997894.0,34469846.0
2024-10-01,571963701.0,247708505.0,6859051.0,388578981.0,1020217.0,36219291.0
2024-11-01,580199659.0,245745329.0,658159.0,35037135.0,901891.0,33250115.0
2024-12-01,643920129.0,277958711.0,7661111.0,425776235.0,961644.0,36104281.0
2025-01-01,568252069.0,247030793.0,6223213.0,370572169.0,919915.0,33895259.0
2025-02-01,560813227.0,243217367.0,6194908.0,337876496.0,835017.0,3244817.0
2025-03-01,624938472.0,257046846.0,6129483.0,368319949.0,880883.0,3407880.0
2025-04-01,62781023.0,267680781.0,644490.0,385045225.0,845424.0,34162479.0
2025-05-01,664318101.0,282215177.0,6417898.0,379949218.0,840619.0,34000642.0
2025-06-01,646433071.0,286983297.0,6247743.0,374291128.0,821712.0,33812737.0
2025-07-01,669819691.0,349741252.0,6719289.0,391516665.0,850787.0,35381955.0
